Explained node,Nodes with nonzero weights,Node weights,Edges with nonzero weights,Edge weights
0,[0],[0.3534969985485077],[],[]
1,"[1, 5]","[0.28060781955718994, 0.2698643207550049]","[0, 11]","[0.7893751859664917, 0.7663641571998596]"
2,"[2, 64, 414, 467, 607, 1183, 1506, 2189, 2273, 2353, 2386, 2874, 3417, 3626, 3701]","[0.6999929547309875, 0.25272685289382935, 0.3051472008228302, 0.2779060900211334, 0.3022753596305847, 0.7344452142715454, 0.26855799555778503, 0.23935869336128235, 0.2656609117984772, 0.7355176210403442, 0.29441574215888977, 0.31331515312194824, 0.30639955401420593, 0.7013834714889526, 0.34657418727874756]","[1, 2, 3, 138, 1043, 1152, 1413, 2348, 2349, 2354, 3110, 4586, 4791, 5060, 5061, 5065, 5113, 5897, 6535, 6715, 6716, 6717, 6778]","[0.7777920961380005, 0.7855632305145264, 0.7589262127876282, 0.7859200239181519, 0.7898545861244202, 0.2449760138988495, 0.7861383557319641, 0.7435793876647949, 0.782027542591095, 0.7568816542625427, 0.7732982039451599, 0.7880486845970154, 0.7812793850898743, 0.7412421107292175, 0.7777016162872314, 0.7552623748779297, 0.7820225954055786, 0.7922051548957825, 0.7713822722434998, 0.7366842031478882, 0.7679473757743835, 0.7780933976173401, 0.7515005469322205]"
3,"[3, 339, 650, 767, 850, 2646, 3416]","[0.4520045220851898, 0.26548272371292114, 0.3050301671028137, 0.32337138056755066, 0.26561370491981506, 0.3066847026348114, 0.2930464446544647]","[4, 5, 6, 7, 8, 865, 866, 1468, 1645, 1757, 5594, 5595, 6533]","[0.7912340760231018, 0.7891577482223511, 0.7724418044090271, 0.7753755450248718, 0.7738761305809021, 0.7588684558868408, 0.7907057404518127, 0.7293767929077148, 0.7316624522209167, 0.2168729603290558, 0.7426587343215942, 0.7818295955657959, 0.7422235608100891]"
4,"[4, 463, 642, 974, 1292, 2300, 2602, 2687, 2814, 2815, 3024, 3044, 3276]","[0.7009798884391785, 0.3229958415031433, 0.269756555557251, 0.2737290561199188, 0.2481575310230255, 0.2640736699104309, 0.7368460893630981, 0.3120972514152527, 0.7075336575508118, 0.33723360300064087, 0.2685900032520294, 0.271520733833313, 0.26200875639915466]","[9, 10, 1145, 1457, 1928, 2513, 4914, 5532, 5533, 5668, 5846, 5847, 5848, 6095, 6106, 6422]","[0.7743520140647888, 0.764312744140625, 0.22067639231681824, 0.787128746509552, 0.7771455645561218, 0.7985790371894836, 0.7941053509712219, 0.7774900197982788, 0.7536892890930176, 0.7559419870376587, 0.7875076532363892, 0.7500259280204773, 0.7553683519363403, 0.21280255913734436, 0.7707405686378479, 0.22049565613269806]"
5,"[1, 5]","[0.28514981269836426, 0.27087998390197754]","[0, 11]","[0.7651953101158142, 0.7906249165534973]"
6,[6],[0.41220298409461975],[],[]
7,[7],[0.2978331744670868],[],[]
8,"[8, 412, 1969]","[0.30306053161621094, 0.27785995602607727, 0.27794939279556274]","[12, 1028, 4027]","[0.7872927784919739, 0.7734951376914978, 0.7861326336860657]"
9,"[9, 3011]","[0.3321651816368103, 0.31923484802246094]","[13, 6082]","[0.7801992297172546, 0.7458814382553101]"
10,[10],[0.6029262542724609],[],[]
11,"[11, 557, 585, 803, 835, 1010, 1210]","[0.24294021725654602, 0.3100598156452179, 0.2730948030948639, 0.3510913848876953, 0.295512855052948, 0.27452659606933594, 0.27788037061691284]","[14, 15, 1318, 1319, 1376, 1700, 1701, 1742, 2016, 2407]","[0.21291494369506836, 0.21386076509952545, 0.7517719864845276, 0.7798089385032654, 0.21583640575408936, 0.7380818724632263, 0.7875838279724121, 0.21582330763339996, 0.7861380577087402, 0.21571381390094757]"
12,"[12, 99, 114, 123, 141, 146, 158, 249, 550, 998, 1015, 1362, 1437, 1493, 1783, 1821, 1822, 1829, 2248, 2270, 2582, 2623, 2624, 2686, 3131, 3152]","[0.2724798023700714, 0.26728957891464233, 0.3248583972454071, 0.7287954092025757, 0.7423065900802612, 0.27569371461868286, 0.2753881514072418, 0.27438244223594666, 0.2606826424598694, 0.3006626069545746, 0.268849641084671, 0.259639173746109, 0.29178643226623535, 0.25304603576660156, 0.2743471562862396, 0.38663315773010254, 0.3185955584049225, 0.7265203595161438, 0.284504234790802, 0.28894752264022827, 0.2801308035850525, 0.29279664158821106, 0.30361083149909973, 0.27360397577285767, 0.28118446469306946, 0.30706554651260376]","[16, 17, 18, 243, 269, 296, 297, 298, 328, 329, 330, 353, 413, 666, 669, 1291, 1303, 2003, 2057, 2090, 2651, 2894, 3072, 3574, 3575, 3686, 3687, 3691, 3692, 3711, 3712, 3713, 4722, 4723, 4784, 5499, 5556, 5558, 5662, 6217, 6254, 6255]","[0.22699230909347534, 0.22812026739120483, 0.22286970913410187, 0.22609438002109528, 0.7799074649810791, 0.7887194752693176, 0.7316780090332031, 0.7716373205184937, 0.7936609983444214, 0.7494165897369385, 0.7652373909950256, 0.2169063240289688, 0.22206637263298035, 0.2229209542274475, 0.2214808315038681, 0.22446545958518982, 0.2174157202243805, 0.22127999365329742, 0.22267615795135498, 0.22857436537742615, 0.22311532497406006, 0.21771501004695892, 0.22902581095695496, 0.22418437898159027, 0.23598356544971466, 0.782663106918335, 0.7617955207824707, 0.22322966158390045, 0.7765174508094788, 0.7741799354553223, 0.22506417334079742, 0.22375334799289703, 0.22226162254810333, 0.7737020254135132, 0.7812525629997253, 0.2221895456314087, 0.7834815979003906, 0.7724128365516663, 0.21891579031944275, 0.22103413939476013, 0.2261369228363037, 0.7769957780838013]"
