Explained node,Nodes with nonzero weights,Node weights,Edges with nonzero weights,Edge weights
0,[0],[0.34361210465431213],[],[]
1,"[1, 5]","[0.29003646969795227, 0.32720544934272766]","[0, 11]","[0.785807192325592, 0.7395884990692139]"
2,"[2, 64, 414, 467, 607, 1183, 1506, 2189, 2273, 2353, 2386, 2874, 3417, 3626, 3701]","[0.7241321802139282, 0.2715117335319519, 0.2856512665748596, 0.30594995617866516, 0.2766374349594116, 0.7353270649909973, 0.316997230052948, 0.2454899549484253, 0.257670521736145, 0.7129822969436646, 0.2918512523174286, 0.28486502170562744, 0.2734425663948059, 0.7472909688949585, 0.5713134407997131]","[1, 2, 3, 138, 1043, 1152, 1413, 2348, 2349, 2354, 3110, 4586, 4791, 5060, 5061, 5065, 5113, 5897, 6535, 6715, 6716, 6717, 6778]","[0.7626261115074158, 0.7628942131996155, 0.7570670247077942, 0.7916447520256042, 0.7853987812995911, 0.21842393279075623, 0.7849193215370178, 0.7441824078559875, 0.7746239304542542, 0.7804867625236511, 0.7548606991767883, 0.7868407964706421, 0.7784878015518188, 0.7548105120658875, 0.7727159857749939, 0.7838647961616516, 0.7648463249206543, 0.2177238017320633, 0.7719739079475403, 0.7418286204338074, 0.7590516805648804, 0.7636284828186035, 0.749211847782135]"
3,"[3, 339, 650, 767, 850, 2646, 3416]","[0.7376734018325806, 0.2736950218677521, 0.3452536165714264, 0.2880256772041321, 0.2705472707748413, 0.3939938545227051, 0.3500562310218811]","[4, 5, 6, 7, 8, 865, 866, 1468, 1645, 1757, 5594, 5595, 6533]","[0.7617326378822327, 0.7848873138427734, 0.7820587754249573, 0.772506058216095, 0.7836757898330688, 0.7370856404304504, 0.7908055782318115, 0.7243539094924927, 0.723915696144104, 0.21334156394004822, 0.7393945455551147, 0.7604777216911316, 0.7335546016693115]"
4,"[4, 463, 642, 974, 1292, 2300, 2602, 2687, 2814, 2815, 3024, 3044, 3276]","[0.716853141784668, 0.25606852769851685, 0.26111143827438354, 0.2664547562599182, 0.2856842875480652, 0.2739846110343933, 0.29532721638679504, 0.27569589018821716, 0.5939105153083801, 0.3094418942928314, 0.2674013674259186, 0.32836610078811646, 0.28700369596481323]","[9, 10, 1145, 1457, 1928, 2513, 4914, 5532, 5533, 5668, 5846, 5847, 5848, 6095, 6106, 6422]","[0.7811661958694458, 0.7697990536689758, 0.21865472197532654, 0.7992590069770813, 0.7884519100189209, 0.2196711301803589, 0.21835412085056305, 0.7802501320838928, 0.7678312659263611, 0.77944016456604, 0.7841999530792236, 0.7853517532348633, 0.7666192054748535, 0.2162247747182846, 0.7569698095321655, 0.21652430295944214]"
5,"[1, 5]","[0.2535999119281769, 0.3496970236301422]","[0, 11]","[0.7481973767280579, 0.778066873550415]"
6,[6],[0.39100131392478943],[],[]
7,[7],[0.294184148311615],[],[]
8,"[8, 412, 1969]","[0.3565269410610199, 0.27689626812934875, 0.2887665927410126]","[12, 1028, 4027]","[0.7816232442855835, 0.7612770795822144, 0.7891290187835693]"
9,"[9, 3011]","[0.43550726771354675, 0.36294692754745483]","[13, 6082]","[0.7730433940887451, 0.7387614250183105]"
